"","Site","Plot","SBAPC","SBA","Soil_Type","X100Clay","X100Silt","X100Sand","X100Bracken","X100Moss","X100BareGround","X100BG.M","X100Litter","X100Trampling","X100Hollyshrub","X100Rubusshrub","X100IlexEat","X100Grass","X100Canopy_openness","X100Under_openness","X100Canopy_Open_Total","X100LOIO","X100LOIM"
"38","Malwood","3 - Moderate",0.489500091,33.19,71108,-1.38629436111989,-0.994622575144062,0.120144311842063,-2.94443897916644,-2.94443897916644,-2.94443897916644,-2.19722457733622,0.847297860387203,-1.73460105538811,-4.59511985013459,-4.59511985013459,-4.92644820786839,-1.38629436111989,-1.50285564952595,-2.12050249196454,-0.89966181234368,1.12494232620289,-2.25579431184477
"39","Malwood","4 - Major",0.736769752,17.11,71108,-1.65822807660353,-1.15267950993839,0.405465108108164,-1.38629436111989,-1.38629436111989,-3.89182029811063,-1.26566637333128,0,-2.19722457733622,-4.59511985013459,-4.59511985013459,-5.355481690536,-1.73460105538811,-0.48683264027469,-2.3860844537845,-0.140711713043302,0.897953583835554,-2.60243925397872
"40","Malwood","5 - Total",1,0,71108,-1.26566637333128,-0.944461608840851,0,-1.09861228866811,-1.09861228866811,-2.19722457733622,-0.619039208406224,-1.73460105538811,-1.73460105538811,-4.59511985013459,-2.19722457733622,-5.23473436360029,-2.19722457733622,-0.117735813499739,-1.19750140977597,0.859326874718435,1.0507997679263,-0.654081099846947
"41","MarkAsh","1 - Intact",0,66.16,57210,-1.73460105538811,-0.944461608840851,0.281851152140987,-6.90675477864855,-2.94443897916644,-6.90675477864855,-2.94443897916644,2.94443897916644,-2.19722457733622,-4.59511985013459,-6.90675477864855,-6.90675477864855,-4.59511985013459,-3.9879660275412,-6.90675477864855,-3.9879660275412,1.11368783808682,-3.01091979889065
"42","MarkAsh","2 - Slight",0.23116168,50.86,64303,-1.81528996663825,-0.994622575144062,0.363965377201411,-0.200670695462151,-2.94443897916644,-4.59511985013459,-2.75153531304195,2.94443897916644,-2.19722457733622,-4.59511985013459,-4.59511985013459,-5.74139933822751,-4.59511985013459,-1.98393489923639,-6.90675477864855,-1.98393489923639,0.837248476080072,-3.11747960687993
"43","MarkAsh","3 - Moderate",0.498305469,33.19,57210,-1.90095876119305,-1.09861228866811,0.489548225318706,-0.847297860387204,-1.09861228866811,-6.90675477864855,-1.09861228866811,0.847297860387203,-2.19722457733622,-4.59511985013459,-4.59511985013459,-6.43615036836943,-2.19722457733622,-0.662937731501942,-6.90675477864855,-0.662937731501942,0.94020607140269,-3.0699631223784
"44","MarkAsh","4 - Major",0.731016698,17.8,57210,-1.81528996663825,-0.944461608840851,0.322773392263051,3.89182029811063,-6.90675477864855,-6.90675477864855,-6.90675477864855,3.89182029811063,-6.90675477864855,-6.90675477864855,-4.59511985013459,-4.59511985013459,-4.59511985013459,0.276753001919591,-6.90675477864855,0.276753001919591,0.987208594241127,-2.87741743288922
"45","MarkAsh","5 - Total",1,0,64303,-1.81528996663825,-0.944461608840851,0.322773392263051,2.19722457733622,-6.90675477864855,-4.59511985013459,-4.59511985013459,-2.19722457733622,-2.94443897916644,-4.59511985013459,-4.59511985013459,-4.59511985013459,-4.59511985013459,0.332633460314047,-1.21509948379069,1.45782637912552,0.889131097249337,-3.0806731653602
"46","Ridley","1 - Intact",0,66.12,71107,-1.26566637333128,-0.895384047054842,-0.0400053346136992,-4.59511985013459,-4.59511985013459,-6.90675477864855,-4.59511985013459,6.90675477864855,-2.94443897916644,-4.59511985013459,-6.90675477864855,-5.28359406314443,-6.90675477864855,-4.28027173955891,-6.90675477864855,-4.28027173955891,1.27897382437298,-2.35301675766157
"47","Ridley","2 - Slight",0.242779436,50.07,71107,-1.04596855518269,-0.944461608840851,-0.160342650075179,-0.405465108108164,-4.59511985013459,-4.59511985013459,-3.89182029811063,1.38629436111989,-1.38629436111989,-2.94443897916644,-0.847297860387204,-6.45598470594919,-2.94443897916644,-2.31730344644649,-3.39347533556825,-1.97175973051664,1.07391715822909,-2.49870262347355
"48","Ridley","3 - Moderate",0.507331028,32.58,71107,-1.20831120592453,-0.800119300112113,-0.160342650075179,-4.59511985013459,-1.73460105538811,-3.89182029811063,-1.58562726374038,-1.73460105538811,-2.94443897916644,-3.89182029811063,-1.09861228866811,-5.24654553445209,-4.59511985013459,-1.00913074406953,-6.90675477864855,-1.00913074406953,0.796209406165607,-3.05810193073253
"49","Ridley","4 - Major",0.793491159,13.65,71107,-1.04596855518269,-0.75377180237638,-0.322773392263051,0.405465108108164,-2.19722457733622,-4.59511985013459,-2.09074109693377,-2.94443897916644,-2.51230562397611,-4.59511985013459,-1.73460105538811,-5.5872487346849,-0.405465108108164,-1.30574339422321,-1.05952624658095,-0.117735813499739,0.886573459068763,-3.15700477694606
"50","Ridley","5 - Total",1,0,71107,-1.90095876119305,-1.09861228866811,0.489548225318706,0.847297860387203,-2.19722457733622,-6.90675477864855,-2.19722457733622,-4.59511985013459,-4.59511985013459,-4.59511985013459,-1.73460105538811,-7.61035661781804,-1.73460105538811,1.09914569313468,-3.01394154230099,1.36703073181736,1.32073755330696,-2.98941932856539
"51","Shave Wood","1 - Intact",0,59.85,71108,-1.15267950993839,-0.994622575144062,-0.0400053346136992,-6.90675477864855,-4.59511985013459,-6.90675477864855,-4.59511985013459,6.90675477864855,-2.94443897916644,-4.59511985013459,-6.90675477864855,-5.44483098469452,-6.90675477864855,-3.80193010495923,-6.90675477864855,-3.80193010495923,1.28890650915726,-2.40565859289209
"52","Shave Wood","2 - Slight",0.171398045,49.6,71108,-1.51634748936809,-0.800119300112113,0.0400053346136992,-6.90675477864855,-4.59511985013459,-6.90675477864855,-4.59511985013459,4.59511985013459,-2.94443897916644,-4.59511985013459,-6.90675477864855,-5.3770883629294,-6.90675477864855,-2.70975814344737,-4.21481019917019,-2.48438676415113,1.19337247486672,-2.48459820762423
"53","Shave Wood","3 - Moderate",0.469585733,31.75,71108,-1.20831120592453,-0.532216813747308,-0.405465108108164,-6.90675477864855,0.405465108108164,-6.90675477864855,0.405465108108164,-0.405465108108164,-2.94443897916644,-2.4423470353692,-4.59511985013459,-5.58882444525568,-4.59511985013459,-1.52041783038339,-2.52914641570288,-1.0814061926932,1.57414395059099,-2.7767868705004
"54","Shave Wood","4 - Major",0.6904738,18.53,71108,-1.09861228866811,-1.04596855518269,-0.0400053346136992,-1.38629436111989,-0.405465108108164,-4.59511985013459,-0.363965377201412,0.200670695462151,-2.94443897916644,-2.19722457733622,-4.59511985013459,-7.45722465975064,-2.94443897916644,-1.45469534149752,-1.21804884426626,-0.332797929302606,1.09955741867002,-2.96888328818244
"55","Shave Wood","5 - Total",1,0,71108,-1.09861228866811,-0.944461608840851,-0.120144311842063,-1.09861228866811,-1.73460105538811,-3.89182029811063,-1.58562726374038,-1.73460105538811,0.847297860387203,-2.94443897916644,-1.73460105538811,-5.53203884099611,-1.73460105538811,-0.24993296004828,-1.38829556250819,0.56461634873061,0.693536398811695,-2.91597026036799
"56","WoodCrates","1 - Intact",0,98.39,71107,-1.20831120592453,-0.281851152140988,-0.663294217410264,-4.59511985013459,-4.59511985013459,-6.90675477864855,-4.59511985013459,4.59511985013459,-6.90675477864855,-4.59511985013459,-6.90675477864855,-4.96169442674393,-6.90675477864855,-5.54287110101552,-4.28997298094746,-4.03256279394062,0.949285631220153,-2.87025910095253
"57","WoodCrates","2 - Slight",0.470320496,52.12,71107,-1.51634748936809,-0.447312218043665,-0.281851152140988,-4.59511985013459,-4.59511985013459,-6.90675477864855,-4.59511985013459,2.94443897916644,-1.38629436111989,-4.59511985013459,-6.90675477864855,-5.33350711344444,-4.59511985013459,-2.34956946171258,-3.64727795638492,-2.0654552997051,1.08574748604927,-3.1276737985777
"58","WoodCrates","3 - Moderate",0.622714311,37.12,71107,-1.3249254147436,-0.619039208406224,-0.241162056816888,-4.59511985013459,-4.59511985013459,-3.89182029811063,-3.47609868983527,1.99243016469021,-0.847297860387204,-4.59511985013459,-4.59511985013459,-5.04503672081359,-2.19722457733622,-1.8781631536495,-2.13967504741362,-1.16422736336316,1.1045806544117,-2.87800354220113
"59","WoodCrates","4 - Major",0.802421131,19.44,71107,-2.4423470353692,-1.65822807660353,1.15267950993839,-1.09861228866811,-2.19722457733622,-4.59511985013459,-2.09074109693377,0,-2.94443897916644,-4.59511985013459,-2.94443897916644,-5.71052735350098,-2.19722457733622,-0.425505858991611,-3.50218939493391,-0.304531892177094,0.797265245933169,-3.18313153315444
"60","WoodCrates","5 - Total",1,0,71107,-1.73460105538811,-1.04596855518269,0.363965377201411,-0.619039208406224,-4.59511985013459,-4.59511985013459,-3.89182029811063,-2.94443897916644,-2.94443897916644,-4.59511985013459,-0.405465108108164,-5.47451563033844,-0.847297860387204,-0.0552140227937601,-3.19062628662387,0.102970887023937,0.806705020287484,-3.65024012445144
